V,L_IMPERS,L_PC,L_3,,L_PLUR;Vpiam3-p
V,L_IMPERS,L_PC,L_3,,L_SING;Vpiam3-s
V,L_IMPERS,L_PQPFT,L_1,,L_PLUR;Vpilm1-p
V,L_IMPERS,L_PQPFT,L_1,,L_SING;Vpilm1-s
V,L_IMPERS,L_PQPFT,L_2,,L_PLUR;Vpilm2-p
V,L_IMPERS,L_PQPFT,L_2,,L_SING;Vpilm2-s
V,L_IMPERS,L_PQPFT,L_3,,L_PLUR;Vpilm3-p
V,L_IMPERS,L_PQPFT,L_3,,L_SING;Vpilm3-s
V,L_IMPERS,L_PRES,L_1,,L_PLUR;Vpipm1-p
V,L_IMPERS,L_PRES,L_1,,L_SING;Vpipm1-s
V,L_IMPERS,L_PRES,L_2,,L_PLUR;Vpipm2-p
V,L_IMPERS,L_PRES,L_2,,L_SING;Vpipm2-s
V,L_IMPERS,L_PRES,L_3,,L_PLUR;Vpipm3-p
V,L_IMPERS,L_PRES,L_3,,L_SING;Vpipm3-s
V,L_IMPERS,,,,;Vpi-m---
V,,L_IMPFT,L_1,,L_PLUR;Vaii-1-p,Vmii-1-p,Vciit1-p
V,,L_IMPFT,L_1,,L_SING;Vaii-1-s,Vmii-1-s,Vciit1-s
V,,L_IMPFT,L_2,,L_PLUR;Vaii-2-p,Vmii-2-p,Vciit2-p
V,,L_IMPFT,L_2,,L_SING;Vaii-2-s,Vmii-2-s,Vciit2-s
V,,L_IMPFT,L_3,,L_PLUR;Vaii-3-p,Vmii-3-p,Vciit3-p
V,,L_IMPFT,L_3,,L_SING;Vaii-3-s,Vmii-3-s,Vciit3-s
V,L_INTRANS,L_COND_PASS,L_1,,L_PLUR;Vpioi1-p
V,L_INTRANS,L_COND_PASS,L_1,,L_SING;Vpioi1-s
V,L_INTRANS,L_COND_PASS,L_2,,L_PLUR;Vpioi2-p
V,L_INTRANS,L_COND_PASS,L_2,,L_SING;Vpioi2-s
V,L_INTRANS,L_COND_PASS,L_3,,L_PLUR;Vpioi3-p
V,L_INTRANS,L_COND_PASS,L_3,,L_SING;Vpioi3-s
V,L_INTRANS,L_COND_PRES,L_1,,L_PLUR;Vpici1-p
V,L_INTRANS,L_COND_PRES,L_1,,L_SING;Vpici1-s
V,L_INTRANS,L_COND_PRES,L_2,,L_PLUR;Vpici2-p
